,ISO,Year,BAU,EA,SDG Target
0,HUN,2017,100,100,50
1,HUN,2020,100.7191457,94.72135739,50
2,HUN,2025,102.264887904923,86.02532335,50
3,HUN,2030,104.191029214068,77.30469909,50
4,HUN,2035,106.5482715,68.47880765,50
5,HUN,2040,109.2428424,59.36832871,50
6,HUN,2045,112.0714428,49.78251706,50
7,HUN,2050,114.870824050823,39.6251524422735,50
