,ISO,Year,BAU,SC1,SC2
0,HUN,2017,20.27961566,20.27961566,20.35404668
1,HUN,2020,21.23979461,21.40926577,21.4762551
2,HUN,2025,24.23938162,25.00550243,24.50898196
3,HUN,2030,27.303755,29.06604876,27.5177286
4,HUN,2035,30.42412663,33.62062786,30.59121718
5,HUN,2040,33.59225686,38.7118765,33.72065983
6,HUN,2045,36.80100965,44.38699896,36.8978171
7,HUN,2050,40.04497553,50.68195187,40.11555316
