ISO ,Year,BAU,EA
HUN,2016,0.0088,0.0088
HUN,2020,0.0082,0.0081
HUN,2030,0.0066,0.0062
HUN,2040,0.0048,0.0044
HUN,2050,0.0039,0.0027
