ISO ,Year,BAU,LA,EA
HUN,2016,11.1234301,11.1234301,11.1234301
HUN,2020,13.2456328,14.80443102,13.2456328
HUN,2025,21.47060806,22.03016076,21.47060806
HUN,2030,26.83692226,36.30657042,26.83692226
HUN,2035,42.23385947,48.23515464,42.23385947
HUN,2040,51.28584725,55.43413513,51.28584725
HUN,2045,58.57042807,70.33052366,58.57042807
HUN,2050,80.77780518,81.89674372,80.77780518
