ISO ,Year,BAU,LA,EA
HUN,2016,41505038.11,41505039,41505039
HUN,2020,41720625.8,41604017,40714461
HUN,2025,43811342.61,43539882,43443404
HUN,2030,61667622.63,72033733,65580810
HUN,2035,52391655.79,62451449,54606828
HUN,2040,45809624.72,63019053,47130287
HUN,2045,46823130.86,79037337,52148072
HUN,2050,49166619.02,122723717,115100571
