ISO,Year,Solar,LA,EA
HUN,2016,224422.4394,224422,224422
HUN,2020,1324532.437,1324532,570819
HUN,2025,4074807.43,4294829,4074807
HUN,2030,6825082.423,7045104,10125412
HUN,2035,12421919.06,10647094,13033942
HUN,2040,12262389.13,13201320,13833424
HUN,2045,11439265.52,28602860,13574243
HUN,2050,8880306.109,45817772,47970926
