ISO,Year,Population
AZE,2013,5.955
AZE,2014,5.955
AZE,2015,5.955
AZE,2016,5.955
AZE,2017,5.955
AZE,2018,5.955
AZE,2019,5.955
BDI,2000,10.06
BDI,2001,10.06
BDI,2002,10.06
BDI,2003,10.06
BDI,2004,10.06
BDI,2005,10.06
BDI,2006,10.06
BDI,2007,10.06
BDI,2008,10.06
BDI,2009,10.06
BDI,2010,10.06
BDI,2011,10.06
BDI,2012,10.06
BDI,2013,10.06
BDI,2014,10.06
BDI,2015,10.06
BDI,2016,10.06
BDI,2017,10.06
BDI,2018,10.06
BDI,2019,10.06
BEL,2000,12
BEL,2001,12
BEL,2002,12
BEL,2003,12
BEL,2004,12
BEL,2005,12
BEL,2006,12
BEL,2007,12
BEL,2008,12
BEL,2009,12
BEL,2010,12
BEL,2011,12
BEL,2012,12
BEL,2013,12
BEL,2014,12
BEL,2015,12
BEL,2016,12
BEL,2017,12
BEL,2018,12
BEL,2019,12
BEN,2000,10
BEN,2001,10
BEN,2002,10
BEN,2003,10
BEN,2004,10
BEN,2005,10
BEN,2006,10
BEN,2007,10
BEN,2008,10
BEN,2009,10
BEN,2010,10
BEN,2011,10
BEN,2012,10
BEN,2013,10
BEN,2014,10
BEN,2015,10
BEN,2016,10
BEN,2017,10
BEN,2018,10
BEN,2019,10
BFA,2000,8
BFA,2001,8
BFA,2002,8
BFA,2003,8
BFA,2004,8
BFA,2005,8
BFA,2006,8
BFA,2007,8
BFA,2008,8
BFA,2009,8
BFA,2010,8
BFA,2011,8
BFA,2012,8
BFA,2013,8
BFA,2014,8
BFA,2015,8
BFA,2016,8
BFA,2017,8
BFA,2018,8
BFA,2019,8
BGD,2000,83.91
BGD,2001,83.91
BGD,2002,83.91
BGD,2003,83.91
BGD,2004,83.91
BGD,2005,83.91
BGD,2006,83.91
BGD,2007,83.91
BGD,2008,83.91
BGD,2009,83.91
BGD,2010,83.91
BGD,2011,83.91
BGD,2012,83.91
BGD,2013,83.91
BGD,2014,83.91
BGD,2015,83.91
BGD,2016,83.91
BGD,2017,83.91
BGD,2018,83.91
BGD,2019,83.91
BGR,2000,20.1
BGR,2001,20.1
BGR,2002,20.1
BGR,2003,20.1
BGR,2004,20.1
BGR,2005,20.1
BGR,2006,20.1
BGR,2007,20.1
BGR,2008,20.1
BGR,2009,20.1
BGR,2010,20.1
BGR,2011,20.1
BGR,2012,20.1
BGR,2013,20.1
BGR,2014,20.1
BGR,2015,20.1
BGR,2016,20.1
BGR,2017,20.1
BGR,2018,20.1
BGR,2019,20.1
BHR,2000,0.004
BHR,2001,0.004
BHR,2002,0.004
BHR,2003,0.004
BHR,2004,0.004
BHR,2005,0.004
BHR,2006,0.004
BHR,2007,0.004
BHR,2008,0.004
BHR,2009,0.004
BHR,2010,0.004
BHR,2011,0.004
BHR,2012,0.004
BHR,2013,0.004
BHR,2014,0.004
BHR,2015,0.004
BHR,2016,0.004
BHR,2017,0.004
BHR,2018,0.004
BHR,2019,0.004
BHS,2000,0
BHS,2001,0
BHS,2002,0
BHS,2003,0
BHS,2004,0
BHS,2005,0
BHS,2006,0
BHS,2007,0
BHS,2008,0
BHS,2009,0
BHS,2010,0
BHS,2011,0
BHS,2012,0
BHS,2013,0
BHS,2014,0
BHS,2015,0
BHS,2016,0
BHS,2017,0
BHS,2018,0
BHS,2019,0
BIH,2000,34.34
BIH,2001,34.34
BIH,2002,34.34
BIH,2003,34.34
BIH,2004,34.34
BIH,2005,34.34
BIH,2006,34.34
BIH,2007,34.34
BIH,2008,34.34
BIH,2009,34.34
BIH,2010,34.34
BIH,2011,34.34
BIH,2012,34.34
BIH,2013,34.34
BIH,2014,34.34
BIH,2015,34.34
BIH,2016,34.34
BIH,2017,34.34
BIH,2018,34.34
BIH,2019,34.34
BLR,2000,34
BLR,2001,34
BLR,2002,34
BLR,2003,34
BLR,2004,34
BLR,2005,34
BLR,2006,34
BLR,2007,34
BLR,2008,34
BLR,2009,34
BLR,2010,34
BLR,2011,34
BLR,2012,34
BLR,2013,34
BLR,2014,34
BLR,2015,34
BLR,2016,34
BLR,2017,34
BLR,2018,34
BLR,2019,34
BLZ,2000,15.26
BLZ,2001,15.26
BLZ,2002,15.26
BLZ,2003,15.26
BLZ,2004,15.26
BLZ,2005,15.26
BLZ,2006,15.26
BLZ,2007,15.26
BLZ,2008,15.26
BLZ,2009,15.26
BLZ,2010,15.26
BLZ,2011,15.26
BLZ,2012,15.26
BLZ,2013,15.26
BLZ,2014,15.26
BLZ,2015,15.26
BLZ,2016,15.26
BLZ,2017,15.26
BLZ,2018,15.26
BLZ,2019,15.26
BMU,2000,0
BMU,2001,0
BMU,2002,0
BMU,2003,0
BMU,2004,0
BMU,2005,0
BMU,2006,0
BMU,2007,0
BMU,2008,0
BMU,2009,0
BMU,2010,0
BMU,2011,0
BMU,2012,0
BMU,2013,0
BMU,2014,0
BMU,2015,0
BMU,2016,0
BMU,2017,0
BMU,2018,0
BMU,2019,0
BOL,2000,277.4
BOL,2001,277.4
BOL,2002,277.4
BOL,2003,277.4
BOL,2004,277.4
BOL,2005,277.4
BOL,2006,277.4
BOL,2007,277.4
BOL,2008,277.4
BOL,2009,277.4
BOL,2010,277.4
BOL,2011,277.4
BOL,2012,277.4
BOL,2013,277.4
BOL,2014,277.4
BOL,2015,277.4
BOL,2016,277.4
BOL,2017,277.4
BOL,2018,277.4
BOL,2019,277.4
BRA,2000,5661
BRA,2001,5661
BRA,2002,5661
BRA,2003,5661
BRA,2004,5661
BRA,2005,5661
BRA,2006,5661
BRA,2007,5661
BRA,2008,5661
BRA,2009,5661
BRA,2010,5661
BRA,2011,5661
BRA,2012,5661
BRA,2013,5661
BRA,2014,5661
BRA,2015,5661
BRA,2016,5661
BRA,2017,5661
BRA,2018,5661
BRA,2019,5661
BRB,2000,0.008
BRB,2001,0.008
BRB,2002,0.008
BRB,2003,0.008
BRB,2004,0.008
BRB,2005,0.008
BRB,2006,0.008
BRB,2007,0.008
BRB,2008,0.008
BRB,2009,0.008
BRB,2010,0.008
BRB,2011,0.008
BRB,2012,0.008
BRB,2013,0.008
BRB,2014,0.008
BRB,2015,0.008
BRB,2016,0.008
BRB,2017,0.008
BRB,2018,0.008
BRB,2019,0.008
BRN,2000,8.5
BRN,2001,8.5
BRN,2002,8.5
BRN,2003,8.5
BRN,2004,8.5
BRN,2005,8.5
BRN,2006,8.5
BRN,2007,8.5
BRN,2008,8.5
BRN,2009,8.5
BRN,2010,8.5
BRN,2011,8.5
BRN,2012,8.5
BRN,2013,8.5
BRN,2014,8.5
BRN,2015,8.5
BRN,2016,8.5
BRN,2017,8.5
BRN,2018,8.5
BRN,2019,8.5
BTN,2000,81
BTN,2001,81
BTN,2002,81
BTN,2003,81
BTN,2004,81
BTN,2005,81
BTN,2006,81
BTN,2007,78
BTN,2008,78
BTN,2009,78
BTN,2010,78
BTN,2011,78
BTN,2012,78
BTN,2013,78
BTN,2014,78
BTN,2015,78
BTN,2016,78
BTN,2017,78
BTN,2018,78
BTN,2019,78
BWA,2000,0.8
BWA,2001,0.8
BWA,2002,0.8
BWA,2003,0.8
BWA,2004,0.8
BWA,2005,0.8
BWA,2006,0.8
BWA,2007,0.8
BWA,2008,0.8
BWA,2009,0.8
BWA,2010,0.8
BWA,2011,0.8
BWA,2012,0.8
BWA,2013,0.8
BWA,2014,0.8
BWA,2015,0.8
BWA,2016,0.8
BWA,2017,0.8
BWA,2018,0.8
BWA,2019,0.8
CAF,2000,141
CAF,2001,141
CAF,2002,141
CAF,2003,141
CAF,2004,141
CAF,2005,141
CAF,2006,141
CAF,2007,141
CAF,2008,141
CAF,2009,141
CAF,2010,141
CAF,2011,141
CAF,2012,141
CAF,2013,141
CAF,2014,141
CAF,2015,141
CAF,2016,141
CAF,2017,141
CAF,2018,141
CAF,2019,141
CAN,2000,2840
CAN,2001,2840
CAN,2002,2840
CAN,2003,2840
CAN,2004,2840
CAN,2005,2840
CAN,2006,2840
CAN,2007,2840
CAN,2008,2840
CAN,2009,2840
CAN,2010,2840
CAN,2011,2840
CAN,2012,2840
CAN,2013,2840
CAN,2014,2840
CAN,2015,2840
CAN,2016,2840
CAN,2017,2840
CAN,2018,2840
CAN,2019,2840
CHE,2000,40.4
CHE,2001,40.4
CHE,2002,40.4
CHE,2003,40.4
CHE,2004,40.4
CHE,2005,40.4
CHE,2006,40.4
CHE,2007,40.4
CHE,2008,40.4
CHE,2009,40.4
CHE,2010,40.4
CHE,2011,40.4
CHE,2012,40.4
CHE,2013,40.4
CHE,2014,40.4
CHE,2015,40.4
CHE,2016,40.4
CHE,2017,40.4
CHE,2018,40.4
CHE,2019,40.4
CHL,2000,885
CHL,2001,885
CHL,2002,885
CHL,2003,885
CHL,2004,885
CHL,2005,885
CHL,2006,885
CHL,2007,885
CHL,2008,885
CHL,2009,885
CHL,2010,885
CHL,2011,885
CHL,2012,885
CHL,2013,885
CHL,2014,885
CHL,2015,885
CHL,2016,885
CHL,2017,885
CHL,2018,885
CHL,2019,885
CIV,2000,74
CIV,2001,74
CIV,2002,74
CIV,2003,74
CIV,2004,74
CIV,2005,74
CIV,2006,74
CIV,2007,74
CIV,2008,74
CIV,2009,74
CIV,2010,74
CIV,2011,74
CIV,2012,74
CIV,2013,74
CIV,2014,74
CIV,2015,74
CIV,2016,74
CIV,2017,74
CIV,2018,74
CIV,2019,74
CMR,2000,268
CMR,2001,268
CMR,2002,268
CMR,2003,268
CMR,2004,268
CMR,2005,268
CMR,2006,268
CMR,2007,268
CMR,2008,268
CMR,2009,268
CMR,2010,268
CMR,2011,268
CMR,2012,268
CMR,2013,268
CMR,2014,268
CMR,2015,268
CMR,2016,268
CMR,2017,268
CMR,2018,268
CMR,2019,268
COD,2000,899
COD,2001,899
COD,2002,899
COD,2003,899
COD,2004,899
COD,2005,899
COD,2006,899
COD,2007,899
COD,2008,899
COD,2009,899
COD,2010,899
COD,2011,899
COD,2012,899
COD,2013,899
COD,2014,899
COD,2015,899
COD,2016,899
COD,2017,899
COD,2018,899
COD,2019,899
COG,2000,222
COG,2001,222
COG,2002,222
COG,2003,222
COG,2004,222
COG,2005,222
COG,2006,222
COG,2007,222
COG,2008,222
COG,2009,222
COG,2010,222
COG,2011,222
COG,2012,222
COG,2013,222
COG,2014,222
COG,2015,222
COG,2016,222
COG,2017,222
COG,2018,222
COG,2019,222
COK,2000,0
COK,2001,0
COK,2002,0
COK,2003,0
COK,2004,0
COK,2005,0
COK,2006,0
COK,2007,0
COK,2008,0
COK,2009,0
COK,2010,0
COK,2011,0
COK,2012,0
COK,2013,0
COK,2014,0
COK,2015,0
COK,2016,0
COK,2017,0
COK,2018,0
COK,2019,0
COL,2000,2145
COL,2001,2145
COL,2002,2145
COL,2003,2145
COL,2004,2145
COL,2005,2145
COL,2006,2145
COL,2007,2145
COL,2008,2145
COL,2009,2145
COL,2010,2145
COL,2011,2145
COL,2012,2145
COL,2013,2145
COL,2014,2145
COL,2015,2145
COL,2016,2145
COL,2017,2145
COL,2018,2145
COL,2019,2145
COM,2000,0.2
COM,2001,0.2
COM,2002,0.2
COM,2003,0.2
COM,2004,0.2
COM,2005,0.2
COM,2006,0.2
COM,2007,0.2
COM,2008,0.2
COM,2009,0.2
COM,2010,0.2
COM,2011,0.2
COM,2012,0.2
COM,2013,0.2
COM,2014,0.2
COM,2015,0.2
COM,2016,0.2
COM,2017,0.2
COM,2018,0.2
COM,2019,0.2
CPV,2000,0.181
CPV,2001,0.181
CPV,2002,0.181
CPV,2003,0.181
CPV,2004,0.181
CPV,2005,0.181
CPV,2006,0.181
CPV,2007,0.181
CPV,2008,0.181
CPV,2009,0.181
CPV,2010,0.181
CPV,2011,0.181
CPV,2012,0.181
CPV,2013,0.181
CPV,2014,0.181
CPV,2015,0.181
CPV,2016,0.181
CPV,2017,0.181
CPV,2018,0.181
CPV,2019,0.181
CRI,2000,113
CRI,2001,113
CRI,2002,113
CRI,2003,113
CRI,2004,113
CRI,2005,113
CRI,2006,113
CRI,2007,113
CRI,2008,113
CRI,2009,113
CRI,2010,113
CRI,2011,113
CRI,2012,113
CRI,2013,113
CRI,2014,113
CRI,2015,113
CRI,2016,113
CRI,2017,113
CRI,2018,113
CRI,2019,113
CUB,2000,31.64
CUB,2001,31.64
CUB,2002,31.64
CUB,2003,31.64
CUB,2004,31.64
CUB,2005,31.64
CUB,2006,31.64
CUB,2007,31.64
CUB,2008,31.64
CUB,2009,31.64
CUB,2010,31.64
CUB,2011,31.64
CUB,2012,31.64
CUB,2013,31.64
CUB,2014,31.64
CUB,2015,31.64
CUB,2016,31.64
CUB,2017,31.64
CUB,2018,31.64
CUB,2019,31.64
CYM,2000,0
CYM,2001,0
CYM,2002,0
CYM,2003,0
CYM,2004,0
CYM,2005,0
CYM,2006,0
CYM,2007,0
CYM,2008,0
CYM,2009,0
CYM,2010,0
CYM,2011,0
CYM,2012,0
CYM,2013,0
CYM,2014,0
CYM,2015,0
CYM,2016,0
CYM,2017,0
CYM,2018,0
CYM,2019,0
CYP,2000,0.56
CYP,2001,0.56
CYP,2002,0.56
CYP,2003,0.56
CYP,2004,0.56
CYP,2005,0.56
CYP,2006,0.56
CYP,2007,0.56
CYP,2008,0.56
CYP,2009,0.56
CYP,2010,0.56
CYP,2011,0.56
CYP,2012,0.56
CYP,2013,0.56
CYP,2014,0.56
CYP,2015,0.56
CYP,2016,0.56
CYP,2017,0.56
CYP,2018,0.56
CYP,2019,0.56
CZE,2000,13.15
CZE,2001,13.15
CZE,2002,13.15
CZE,2003,13.15
CZE,2004,13.15
CZE,2005,13.15
CZE,2006,13.15
CZE,2007,13.15
CZE,2008,13.15
CZE,2009,13.15
CZE,2010,13.15
CZE,2011,13.15
CZE,2012,13.15
CZE,2013,13.15
CZE,2014,13.15
CZE,2015,13.15
CZE,2016,13.15
CZE,2017,13.15
CZE,2018,13.15
CZE,2019,13.15
DEU,2000,106.3
DEU,2001,106.3
DEU,2002,106.3
DEU,2003,106.3
DEU,2004,106.3
DEU,2005,106.3
DEU,2006,106.3
DEU,2007,106.3
DEU,2008,106.3
DEU,2009,106.3
DEU,2010,106.3
DEU,2011,106.3
DEU,2012,106.3
DEU,2013,106.3
DEU,2014,106.3
DEU,2015,106.3
DEU,2016,106.3
DEU,2017,106.3
DEU,2018,106.3
DEU,2019,106.3
DJI,2000,0.3
DJI,2001,0.3
DJI,2002,0.3
DJI,2003,0.3
DJI,2004,0.3
DJI,2005,0.3
DJI,2006,0.3
DJI,2007,0.3
DJI,2008,0.3
DJI,2009,0.3
DJI,2010,0.3
DJI,2011,0.3
DJI,2012,0.3
DJI,2013,0.3
DJI,2014,0.3
DJI,2015,0.3
DJI,2016,0.3
DJI,2017,0.3
DJI,2018,0.3
DJI,2019,0.3
DMA,2000,0
DMA,2001,0
DMA,2002,0
DMA,2003,0
DMA,2004,0
DMA,2005,0
DMA,2006,0
DMA,2007,0
DMA,2008,0
DMA,2009,0
DMA,2010,0
DMA,2011,0
DMA,2012,0
DMA,2013,0
DMA,2014,0
DMA,2015,0
DMA,2016,0
DMA,2017,0
DMA,2018,0
DMA,2019,0
DNK,2000,3.7
DNK,2001,3.7
DNK,2002,3.7
DNK,2003,3.7
DNK,2004,3.7
DNK,2005,3.7
DNK,2006,3.7
DNK,2007,3.7
DNK,2008,3.7
DNK,2009,3.7
DNK,2010,3.7
DNK,2011,3.7
DNK,2012,3.7
DNK,2013,3.7
DNK,2014,3.7
DNK,2015,3.7
DNK,2016,3.7
DNK,2017,3.7
DNK,2018,3.7
DNK,2019,3.7
DOM,2000,23.5
DOM,2001,23.5
DOM,2002,23.5
DOM,2003,23.5
DOM,2004,23.5
DOM,2005,23.5
DOM,2006,23.5
DOM,2007,23.5
DOM,2008,23.5
DOM,2009,23.5
DOM,2010,23.5
DOM,2011,23.5
DOM,2012,23.5
DOM,2013,23.5
DOM,2014,23.5
DOM,2015,23.5
DOM,2016,23.5
DOM,2017,23.5
DOM,2018,23.5
DOM,2019,23.5
DZA,2000,9.76
DZA,2001,9.76
DZA,2002,9.76
DZA,2003,9.76
DZA,2004,9.76
DZA,2005,9.76
DZA,2006,9.76
DZA,2007,9.76
DZA,2008,9.76
DZA,2009,9.76
DZA,2010,9.76
DZA,2011,9.76
DZA,2012,9.76
DZA,2013,9.76
DZA,2014,9.76
DZA,2015,9.76
DZA,2016,9.76
DZA,2017,9.76
DZA,2018,9.76
DZA,2019,9.76
ECU,2000,432
ECU,2001,432
ECU,2002,432
ECU,2003,432
ECU,2004,432
ECU,2005,432
ECU,2006,432
ECU,2007,432
ECU,2008,432
ECU,2009,432
ECU,2010,432
ECU,2011,432
ECU,2012,432
ECU,2013,432
ECU,2014,432
ECU,2015,432
ECU,2016,432
ECU,2017,432
ECU,2018,432
ECU,2019,432
EGY,2000,0.5
EGY,2001,0.5
EGY,2002,0.5
EGY,2003,0.5
EGY,2004,0.5
EGY,2005,0.5
EGY,2006,0.5
EGY,2007,0.5
EGY,2008,0.5
EGY,2009,0.5
EGY,2010,0.5
EGY,2011,0.5
EGY,2012,0.5
EGY,2013,0.5
EGY,2014,0.5
EGY,2015,0.5
EGY,2016,0.5
EGY,2017,0.5
EGY,2018,0.5
EGY,2019,0.5
ERI,2000,2.7
ERI,2001,2.7
ERI,2002,2.7
ERI,2003,2.7
ERI,2004,2.7
ERI,2005,2.7
ERI,2006,2.7
ERI,2007,2.7
ERI,2008,2.7
ERI,2009,2.7
ERI,2010,2.7
ERI,2011,2.7
ERI,2012,2.7
ERI,2013,2.7
ERI,2014,2.7
ERI,2015,2.7
ERI,2016,2.7
ERI,2017,2.7
ERI,2018,2.7
ERI,2019,2.7
ESP,2000,109.5
ESP,2001,109.5
ESP,2002,109.5
ESP,2003,109.5
ESP,2004,109.5
ESP,2005,109.5
ESP,2006,109.5
ESP,2007,109.5
ESP,2008,109.5
ESP,2009,109.5
ESP,2010,109.5
ESP,2011,109.5
ESP,2012,109.5
ESP,2013,109.5
ESP,2014,109.5
ESP,2015,109.5
ESP,2016,109.5
ESP,2017,109.5
ESP,2018,109.5
ESP,2019,109.5
EST,2000,11.71
EST,2001,11.71
EST,2002,11.71
EST,2003,11.71
EST,2004,11.71
EST,2005,11.71
EST,2006,11.71
EST,2007,11.71
EST,2008,11.71
EST,2009,11.71
EST,2010,11.71
EST,2011,11.71
EST,2012,11.71
EST,2013,11.71
EST,2014,11.71
EST,2015,11.71
EST,2016,11.71
EST,2017,11.71
EST,2018,11.71
EST,2019,11.71
ETH,2000,120
ETH,2001,120
ETH,2002,120
ETH,2003,120
ETH,2004,120
ETH,2005,120
ETH,2006,120
ETH,2007,120
ETH,2008,120
ETH,2009,120
ETH,2010,120
ETH,2011,120
ETH,2012,120
ETH,2013,120
ETH,2014,120
ETH,2015,120
ETH,2016,120
ETH,2017,120
ETH,2018,120
ETH,2019,120
FIN,2000,106.8
FIN,2001,106.8
FIN,2002,106.8
FIN,2003,106.8
FIN,2004,106.8
FIN,2005,106.8
FIN,2006,106.8
FIN,2007,106.8
FIN,2008,106.8
FIN,2009,106.8
FIN,2010,106.8
FIN,2011,106.8
FIN,2012,106.8
FIN,2013,106.8
FIN,2014,106.8
FIN,2015,106.8
FIN,2016,106.8
FIN,2017,106.8
FIN,2018,106.8
FIN,2019,106.8
FJI,2000,28.55
FJI,2001,28.55
FJI,2002,28.55
FJI,2003,28.55
FJI,2004,28.55
FJI,2005,28.55
FJI,2006,28.55
FJI,2007,28.55
FJI,2008,28.55
FJI,2009,28.55
FJI,2010,28.55
FJI,2011,28.55
FJI,2012,28.55
FJI,2013,28.55
FJI,2014,28.55
FJI,2015,28.55
FJI,2016,28.55
FJI,2017,28.55
FJI,2018,28.55
FJI,2019,28.55
FRA,2000,198
FRA,2001,198
FRA,2002,198
FRA,2003,198
FRA,2004,198
FRA,2005,198
FRA,2006,198
FRA,2007,198
FRA,2008,198
FRA,2009,198
FRA,2010,198
FRA,2011,198
FRA,2012,198
FRA,2013,198
FRA,2014,198
FRA,2015,198
FRA,2016,198
FRA,2017,198
FRA,2018,198
FRA,2019,198
FRO,2000,0
FRO,2001,0
FRO,2002,0
FRO,2003,0
FRO,2004,0
FRO,2005,0
FRO,2006,0
FRO,2007,0
FRO,2008,0
FRO,2009,0
FRO,2010,0
FRO,2011,0
FRO,2012,0
FRO,2013,0
FRO,2014,0
FRO,2015,0
FRO,2016,0
FRO,2017,0
FRO,2018,0
FRO,2019,0
FSM,2000,0
FSM,2001,0
FSM,2002,0
FSM,2003,0
FSM,2004,0
FSM,2005,0
FSM,2006,0
FSM,2007,0
FSM,2008,0
FSM,2009,0
FSM,2010,0
FSM,2011,0
FSM,2012,0
FSM,2013,0
FSM,2014,0
FSM,2015,0
FSM,2016,0
FSM,2017,0
FSM,2018,0
FSM,2019,0
GAB,2000,162
GAB,2001,162
GAB,2002,162
GAB,2003,162
GAB,2004,162
GAB,2005,162
GAB,2006,162
GAB,2007,162
GAB,2008,162
GAB,2009,162
GAB,2010,162
GAB,2011,162
GAB,2012,162
GAB,2013,162
GAB,2014,162
GAB,2015,162
GAB,2016,162
GAB,2017,162
GAB,2018,162
GAB,2019,162
GBR,2000,144.2
GBR,2001,144.2
GBR,2002,144.2
GBR,2003,144.2
GBR,2004,144.2
GBR,2005,144.2
GBR,2006,144.2
GBR,2007,144.2
GBR,2008,144.2
GBR,2009,144.2
GBR,2010,144.2
GBR,2011,144.2
GBR,2012,144.2
GBR,2013,144.2
GBR,2014,144.2
GBR,2015,144.2
GBR,2016,144.2
GBR,2017,144.2
GBR,2018,144.2
GBR,2019,144.2
GEO,2000,56.9
GEO,2001,56.9
GEO,2002,56.9
GEO,2003,56.9
GEO,2004,56.9
GEO,2005,56.9
GEO,2006,56.9
GEO,2007,56.9
GEO,2008,56.9
GEO,2009,56.9
GEO,2010,56.9
GEO,2011,56.9
GEO,2012,56.9
GEO,2013,56.9
GEO,2014,56.9
GEO,2015,56.9
GEO,2016,56.9
GEO,2017,56.9
GEO,2018,56.9
GEO,2019,56.9
GHA,2000,29
GHA,2001,29
GHA,2002,29
GHA,2003,29
GHA,2004,29
GHA,2005,29
GHA,2006,29
GHA,2007,29
GHA,2008,29
GHA,2009,29
GHA,2010,29
GHA,2011,29
GHA,2012,29
GHA,2013,29
GHA,2014,29
GHA,2015,29
GHA,2016,29
GHA,2017,29
GHA,2018,29
GHA,2019,29
GIB,2000,0
GIB,2001,0
GIB,2002,0
GIB,2003,0
GIB,2004,0
GIB,2005,0
GIB,2006,0
GIB,2007,0
GIB,2008,0
GIB,2009,0
GIB,2010,0
GIB,2011,0
GIB,2012,0
GIB,2013,0
GIB,2014,0
GIB,2015,0
GIB,2016,0
GIB,2017,0
GIB,2018,0
GIB,2019,0
GIN,2000,226
GIN,2001,226
GIN,2002,226
GIN,2003,226
GIN,2004,226
GIN,2005,226
GIN,2006,226
GIN,2007,226
